ts,voltage,temp
2025-02-06 16:44:53,1.1621,32.07
2025-02-06 16:44:55,1.1572,31.82
2025-02-06 16:44:57,1.167,32.32
2025-02-06 16:44:59,1.1621,31.82
2025-02-06 16:45:01,1.1621,32.07
2025-02-06 16:45:03,1.1621,32.07
2025-02-06 16:45:05,1.1621,32.32
2025-02-06 16:45:07,1.1621,32.07
2025-02-06 16:45:09,1.1621,32.07
2025-02-06 16:45:11,1.1621,32.07
2025-02-06 16:45:13,1.167,32.32
2025-02-06 16:45:15,1.1621,31.82
2025-02-06 16:45:17,1.1621,31.82
2025-02-06 16:45:19,1.1621,31.82
2025-02-06 16:45:21,1.1572,31.82
2025-02-06 16:45:23,1.1621,32.07
2025-02-06 16:45:25,1.167,32.07
2025-02-06 16:45:27,1.1572,31.82
2025-02-06 16:45:29,1.167,31.82
2025-02-06 16:45:31,1.1621,32.07
2025-02-06 16:45:33,1.167,32.07
2025-02-06 16:45:35,1.167,32.07
2025-02-06 16:45:37,1.1572,31.82
2025-02-06 16:45:39,1.1572,32.07
2025-02-06 16:45:41,1.1621,31.82
2025-02-06 16:45:43,1.1621,32.32
2025-02-06 16:45:45,1.167,32.07
2025-02-06 16:45:47,1.1621,31.57
2025-02-06 16:45:49,1.167,32.07
2025-02-06 16:45:51,1.1621,31.82
2025-02-06 16:45:53,1.1572,32.07
2025-02-06 16:45:55,1.1719,31.82
2025-02-06 16:45:57,1.1621,32.07
2025-02-06 16:45:59,1.1621,32.07
2025-02-06 16:46:01,1.1621,32.07
2025-02-06 16:46:03,1.1621,32.32
2025-02-06 16:46:05,1.1621,31.82
2025-02-06 16:46:07,1.1621,32.32
2025-02-06 16:46:09,1.1621,32.07
2025-02-06 16:46:11,1.1572,32.57
2025-02-06 16:46:13,1.167,31.82
2025-02-06 16:46:15,1.1621,32.32
2025-02-06 16:46:17,1.167,32.07
2025-02-06 16:46:19,1.1621,32.07
2025-02-06 16:46:21,1.1621,32.07
2025-02-06 16:46:23,1.167,32.07
2025-02-06 16:46:25,1.1621,31.82
2025-02-06 16:46:27,1.1621,32.07
2025-02-06 16:46:29,1.1572,31.82
2025-02-06 16:46:31,1.1572,32.57
2025-02-06 16:46:33,1.1572,32.07
2025-02-06 16:46:35,1.1621,32.57
2025-02-06 16:46:37,1.1572,32.07
2025-02-06 16:46:39,1.1621,32.07
2025-02-06 16:46:41,1.1572,32.07
2025-02-06 16:46:43,1.1621,32.32
2025-02-06 16:46:45,1.167,32.07
2025-02-06 16:46:47,1.1621,32.07
2025-02-06 16:46:49,1.1572,32.07
2025-02-06 16:46:51,1.1621,32.07
2025-02-06 16:46:53,1.1621,32.32
2025-02-06 16:46:55,1.1621,32.07
2025-02-06 16:46:57,1.1621,32.07
2025-02-06 16:46:59,1.1621,32.57
2025-02-06 16:47:01,1.167,32.57
2025-02-06 16:47:03,1.1572,32.32
2025-02-06 16:47:05,1.1621,32.32
2025-02-06 16:47:07,1.1621,32.07
2025-02-06 16:47:09,1.167,32.57
2025-02-06 16:47:11,1.167,32.32
2025-02-06 16:47:13,1.1572,32.07
2025-02-06 16:47:15,1.1523,32.57
2025-02-06 16:47:17,1.167,32.32
2025-02-06 16:47:19,1.1572,32.57
2025-02-06 16:47:21,1.167,32.32
2025-02-06 16:47:23,1.1572,32.32
2025-02-06 16:47:25,1.1621,32.32
2025-02-06 16:47:27,1.1572,32.57
2025-02-06 16:47:29,1.1621,31.82
2025-02-06 16:47:31,1.1572,31.82
2025-02-06 16:47:33,1.1621,32.32
2025-02-06 16:47:35,1.1572,32.57
2025-02-06 16:47:37,1.167,32.32
2025-02-06 16:47:39,1.167,32.57
2025-02-06 16:47:41,1.1621,32.07
2025-02-06 16:47:43,1.1621,32.57
2025-02-06 16:47:45,1.1621,32.32
2025-02-06 16:47:47,1.1621,32.07
2025-02-06 16:47:49,1.1572,32.07
2025-02-06 16:47:51,1.167,32.32
2025-02-06 16:47:53,1.1621,32.32
2025-02-06 16:47:55,1.1572,31.82
2025-02-06 16:47:57,1.1621,32.32
2025-02-06 16:47:59,1.167,32.57
2025-02-06 16:48:01,1.1572,32.57
2025-02-06 16:48:03,1.167,32.32
2025-02-06 16:48:05,1.1572,32.57
2025-02-06 16:48:07,1.167,32.32
2025-02-06 16:48:09,1.1572,32.07
2025-02-06 16:48:11,1.1621,32.32
2025-02-06 16:48:13,1.1621,32.07
2025-02-06 16:48:15,1.167,32.32
2025-02-06 16:48:17,1.1621,32.07
2025-02-06 16:48:19,1.1621,32.07
2025-02-06 16:48:21,1.1621,32.07
2025-02-06 16:48:23,1.1621,32.32
2025-02-06 16:48:25,1.1572,32.07
2025-02-06 16:48:27,1.1621,32.07
2025-02-06 16:48:29,1.1572,32.07
2025-02-06 16:48:31,1.1621,32.07
2025-02-06 16:48:33,1.1572,32.07
2025-02-06 16:48:35,1.1621,32.32
2025-02-06 16:48:37,1.1572,32.07
2025-02-06 16:48:39,1.1621,32.07
2025-02-06 16:48:41,1.167,32.07
2025-02-06 16:48:43,1.167,32.32
2025-02-06 16:48:45,1.1719,32.32
2025-02-06 16:48:47,1.1621,32.07
2025-02-06 16:48:49,1.1572,32.07
2025-02-06 16:48:51,1.167,32.32
2025-02-06 16:48:53,1.1719,32.32
2025-02-06 16:48:55,1.1621,32.07
2025-02-06 16:48:57,1.1719,32.32
2025-02-06 16:48:59,1.1621,32.07
2025-02-06 16:49:01,1.1719,32.32
2025-02-06 16:49:03,1.1621,32.07
2025-02-06 16:49:05,1.1621,32.07
2025-02-06 16:49:07,1.1621,32.07
2025-02-06 16:49:09,1.1621,32.32
2025-02-06 16:49:11,1.1621,32.07
2025-02-06 16:49:13,1.1621,32.07
2025-02-06 16:49:15,1.167,32.32
2025-02-06 16:49:17,1.167,32.07
2025-02-06 16:49:19,1.167,32.07
2025-02-06 16:49:21,1.167,31.82
2025-02-06 16:49:23,1.1719,32.57
2025-02-06 16:49:25,1.1621,31.82
2025-02-06 16:49:27,1.1621,31.82
2025-02-06 16:49:29,1.167,32.32
2025-02-06 16:49:31,1.1572,31.82
2025-02-06 16:49:33,1.1572,31.82
2025-02-06 16:49:35,1.167,32.32
2025-02-06 16:49:37,1.1621,31.82
2025-02-06 16:49:39,1.1621,31.82
2025-02-06 16:49:41,1.1621,32.07
2025-02-06 16:49:43,1.1572,31.82
2025-02-06 16:49:45,1.1572,32.07
2025-02-06 16:49:47,1.1621,32.07
2025-02-06 16:49:49,1.1572,31.82
2025-02-06 16:49:51,1.167,32.32
2025-02-06 16:49:53,1.1572,32.57
2025-02-06 16:49:55,1.1572,31.82
2025-02-06 16:49:57,1.1621,32.57
2025-02-06 16:49:59,1.1572,32.57
2025-02-06 16:50:01,1.1572,32.57
2025-02-06 16:50:03,1.1572,32.57
2025-02-06 16:50:05,1.1621,32.07
2025-02-06 16:50:07,1.1572,32.57
2025-02-06 16:50:09,1.167,32.32
2025-02-06 16:50:11,1.1572,32.57
2025-02-06 16:50:13,1.1621,32.32
2025-02-06 16:50:15,1.1621,32.07
2025-02-06 16:50:17,1.1621,32.32
2025-02-06 16:50:19,1.1572,32.32
2025-02-06 16:50:21,1.167,32.57
2025-02-06 16:50:23,1.167,32.57
2025-02-06 16:50:25,1.1621,32.32
2025-02-06 16:50:27,1.167,32.32
2025-02-06 16:50:29,1.1621,32.32
2025-02-06 16:50:31,1.1621,31.82
2025-02-06 16:50:33,1.1572,32.07
2025-02-06 16:50:35,1.1621,31.82
2025-02-06 16:50:37,1.167,32.32
2025-02-06 16:50:39,1.1621,32.57
2025-02-06 16:50:41,1.1572,31.82
2025-02-06 16:50:43,1.1572,31.82
2025-02-06 16:50:45,1.167,32.32
2025-02-06 16:50:47,1.1621,31.82
2025-02-06 16:50:49,1.167,32.32
2025-02-06 16:50:51,1.1572,32.57
2025-02-06 16:50:53,1.1621,32.32
2025-02-06 16:50:55,1.1621,31.82
2025-02-06 16:50:57,1.1621,32.07
2025-02-06 16:50:59,1.1572,32.07
2025-02-06 16:51:01,1.1621,32.57
2025-02-06 16:51:03,1.167,32.57
2025-02-06 16:51:05,1.167,32.32
2025-02-06 16:51:07,1.1572,32.57
2025-02-06 16:51:09,1.1621,32.07
2025-02-06 16:51:11,1.1572,32.57
2025-02-06 16:51:13,1.1621,32.32
2025-02-06 16:51:15,1.1572,32.07
2025-02-06 16:51:17,1.1621,32.07
2025-02-06 16:51:19,1.1572,32.07
2025-02-06 16:51:21,1.167,32.32
2025-02-06 16:51:23,1.1621,32.07
2025-02-06 16:51:25,1.1572,32.07
2025-02-06 16:51:27,1.1621,32.07
2025-02-06 16:51:29,1.167,32.32
2025-02-06 16:51:31,1.1621,32.07
2025-02-06 16:51:33,1.167,32.32
2025-02-06 16:51:35,1.1621,32.07
2025-02-06 16:51:37,1.167,32.32
2025-02-06 16:51:39,1.167,32.32
2025-02-06 16:51:41,1.1621,32.32
2025-02-06 16:51:43,1.1621,32.32
2025-02-06 16:51:45,1.167,32.32
2025-02-06 16:51:47,1.1572,32.07
2025-02-06 16:51:49,1.1572,32.07
2025-02-06 16:51:51,1.1572,32.07
2025-02-06 16:51:53,1.1621,32.07
2025-02-06 16:51:55,1.1621,32.07
2025-02-06 16:51:57,1.1621,32.07
2025-02-06 16:51:59,1.1572,32.07
2025-02-06 16:52:01,1.1621,32.07
2025-02-06 16:52:03,1.1621,32.07
2025-02-06 16:52:05,1.1621,32.07
2025-02-06 16:52:07,1.167,32.32
2025-02-06 16:52:09,1.1719,32.07
2025-02-06 16:52:11,1.167,32.32
2025-02-06 16:52:13,1.1621,32.07
2025-02-06 16:52:15,1.167,32.32
2025-02-06 16:52:17,1.1572,32.07
