ts,voltage,temp
2025-02-05 09:13:44,1.5186,25.81
2025-02-05 09:13:45,1.4844,25.06
2025-02-05 09:13:46,1.5137,26.06
2025-02-05 09:13:47,1.5137,25.81
2025-02-05 09:13:48,1.4697,25.56
2025-02-05 09:13:49,1.4258,25.81
2025-02-05 09:13:50,1.4502,26.06
2025-02-05 09:13:51,1.4941,26.56
2025-02-05 09:13:52,1.4746,26.06
2025-02-05 09:13:53,1.4941,25.81
2025-02-05 09:13:54,1.4795,25.81
2025-02-05 09:13:55,1.499,25.81
2025-02-05 09:13:56,1.5234,25.81
2025-02-05 09:13:57,1.5088,26.56
2025-02-05 09:13:58,1.5186,25.56
2025-02-05 09:13:59,1.4844,25.81
2025-02-05 09:14:00,1.4941,25.56
2025-02-05 09:14:01,1.4893,25.56
2025-02-05 09:14:02,1.5283,25.06
2025-02-05 09:14:03,1.5039,24.81
2025-02-05 09:14:04,1.46,25.31
2025-02-05 09:14:05,1.4746,25.56
2025-02-05 09:14:06,1.4453,25.31
2025-02-05 09:14:07,1.4551,25.31
2025-02-05 09:14:08,1.377,25.56
2025-02-05 09:14:09,1.3574,25.31
2025-02-05 09:14:10,1.3379,25.56
2025-02-05 09:14:11,1.3721,26.06
2025-02-05 09:14:12,1.3281,24.31
2025-02-05 09:14:13,1.3184,25.56
2025-02-05 09:14:14,1.2939,25.31
2025-02-05 09:14:15,1.3184,25.31
2025-02-05 09:14:16,1.3281,26.06
2025-02-05 09:14:17,1.3037,25.56
2025-02-05 09:14:18,1.3525,25.81
2025-02-05 09:14:19,1.3184,25.81
2025-02-05 09:14:20,1.3574,25.81
2025-02-05 09:14:21,1.3574,25.31
2025-02-05 09:14:22,1.4551,25.56
2025-02-05 09:14:23,1.5332,25.81
2025-02-05 09:14:24,1.5234,25.06
2025-02-05 09:14:25,1.4746,25.06
2025-02-05 09:14:26,1.4355,25.31
2025-02-05 09:14:27,1.4648,24.06
2025-02-05 09:14:28,1.46,25.31
2025-02-05 09:14:29,1.4404,25.06
2025-02-05 09:14:30,1.4111,25.31
2025-02-05 09:14:31,1.4111,25.31
2025-02-05 09:14:32,1.3916,25.56
2025-02-05 09:14:33,1.4062,25.31
2025-02-05 09:14:34,1.4307,25.31
2025-02-05 09:14:35,1.4258,25.31
2025-02-05 09:14:36,1.3916,25.31
2025-02-05 09:14:37,1.3428,25.31
2025-02-05 09:14:38,1.3428,25.31
2025-02-05 09:14:39,1.377,25.56
2025-02-05 09:14:40,1.3965,25.31
2025-02-05 09:14:41,1.4062,25.06
2025-02-05 09:14:42,1.3574,24.81
2025-02-05 09:14:43,1.3281,25.06
2025-02-05 09:14:44,1.3477,25.06
2025-02-05 09:14:45,1.3428,25.06
2025-02-05 09:14:46,1.2939,25.56
2025-02-05 09:14:47,1.3818,25.56
2025-02-05 09:14:48,1.2842,25.81
2025-02-05 09:14:49,1.4014,25.31
2025-02-05 09:14:50,1.3379,25.56
2025-02-05 09:14:51,1.377,26.06
2025-02-05 09:14:52,1.3721,24.81
2025-02-05 09:14:53,1.3867,25.31
2025-02-05 09:14:54,1.4648,25.06
2025-02-05 09:14:55,1.4648,25.06
2025-02-05 09:14:56,1.4307,25.06
2025-02-05 09:14:57,1.4941,25.31
2025-02-05 09:14:58,1.5283,25.06
2025-02-05 09:14:59,1.5527,24.56
2025-02-05 09:15:00,1.4893,25.06
2025-02-05 09:15:01,1.4258,24.81
2025-02-05 09:15:02,1.4014,24.56
2025-02-05 09:15:03,1.4307,25.06
2025-02-05 09:15:04,1.4697,25.06
2025-02-05 09:15:05,1.4893,24.81
2025-02-05 09:15:06,1.5625,25.56
2025-02-05 09:15:07,1.46,25.31
2025-02-05 09:15:08,1.4307,25.31
2025-02-05 09:15:09,1.5039,24.81
2025-02-05 09:15:10,1.4062,24.81
2025-02-05 09:15:11,1.4209,24.81
2025-02-05 09:15:12,1.3428,24.81
2025-02-05 09:15:13,1.2988,24.56
2025-02-05 09:15:14,1.3086,23.81
2025-02-05 09:15:15,1.2891,24.56
2025-02-05 09:15:16,1.3232,24.81
2025-02-05 09:15:17,1.3135,24.56
2025-02-05 09:15:18,1.2842,24.81
2025-02-05 09:15:19,1.25,25.31
2025-02-05 09:15:20,1.2842,25.06
2025-02-05 09:15:21,1.2891,24.81
2025-02-05 09:15:22,1.3037,25.06
2025-02-05 09:15:23,1.2793,25.56
2025-02-05 09:15:24,1.3135,24.56
2025-02-05 09:15:25,1.3379,25.06
2025-02-05 09:15:26,1.3574,21.05
2025-02-05 09:15:27,1.3525,25.31
2025-02-05 09:15:28,1.3379,25.31
2025-02-05 09:15:29,1.3574,25.31
2025-02-05 09:15:30,1.4111,24.81
2025-02-05 09:15:31,1.4404,25.06
2025-02-05 09:15:32,1.4551,25.31
2025-02-05 09:15:33,1.4697,25.06
2025-02-05 09:15:34,1.4551,24.56
2025-02-05 09:15:35,1.4355,25.06
2025-02-05 09:15:36,1.3672,24.56
2025-02-05 09:15:37,1.4209,24.31
2025-02-05 09:15:38,1.4502,24.81
2025-02-05 09:15:39,1.4453,25.06
2025-02-05 09:15:40,1.4795,25.06
2025-02-05 09:15:41,1.46,25.31
2025-02-05 09:15:42,1.4697,24.81
2025-02-05 09:15:43,1.46,25.06
2025-02-05 09:15:44,1.4355,24.81
2025-02-05 09:15:45,1.4062,25.06
2025-02-05 09:15:46,1.3965,27.56
2025-02-05 09:15:47,1.3965,25.06
2025-02-05 09:15:48,1.377,24.81
2025-02-05 09:15:49,1.416,25.06
2025-02-05 09:15:50,1.3721,24.81
2025-02-05 09:15:51,1.3477,24.81
2025-02-05 09:15:52,1.3135,25.06
2025-02-05 09:15:53,1.2939,24.81
2025-02-05 09:15:54,1.3379,25.56
2025-02-05 09:15:55,1.3428,25.31
2025-02-05 09:15:56,1.3672,25.31
2025-02-05 09:15:57,1.4746,25.31
2025-02-05 09:15:58,1.416,25.06
2025-02-05 09:15:59,1.4795,25.06
2025-02-05 09:16:00,1.377,25.06
2025-02-05 09:16:01,1.4014,25.06
2025-02-05 09:16:02,1.3965,25.31
2025-02-05 09:16:03,1.3916,25.31
2025-02-05 09:16:04,1.4258,25.31
2025-02-05 09:16:05,1.4355,25.31
2025-02-05 09:16:06,1.3818,25.56
2025-02-05 09:16:07,1.333,25.31
2025-02-05 09:16:08,1.2988,25.06
2025-02-05 09:16:09,1.3379,25.31
2025-02-05 09:16:10,1.3721,25.81
2025-02-05 09:16:11,1.4697,25.06
