timestamp,CO2,T,HR
2025-02-11 12:34:13,564.2379,29.8466,36.6211
2025-02-11 12:35:13,561.5089,29.86,36.6364
2025-02-11 12:36:13,563.0292,29.876,36.6226
2025-02-11 12:37:13,566.1451,29.86,36.5524
2025-02-11 12:38:13,562.9287,29.876,36.5128
2025-02-11 12:39:13,559.4042,29.8894,36.557
2025-02-11 12:40:13,561.0902,29.8894,36.6089
2025-02-11 12:41:13,563.8394,29.9027,36.6119
2025-02-11 12:42:13,564.9261,29.8894,36.6257
2025-02-11 12:43:13,566.9153,29.9187,36.5845
2025-02-11 12:44:13,564.3988,29.9027,36.3892
2025-02-11 12:45:14,563.3117,29.8894,36.4746
2025-02-11 12:46:14,562.6764,29.8894,36.4853
2025-02-11 12:47:14,560.7003,29.876,36.5402
2025-02-11 12:48:14,562.1688,29.8894,36.4578
2025-02-11 12:49:14,559.9602,29.876,36.5128
2025-02-11 12:50:14,558.53,29.9027,36.4609
2025-02-11 12:51:14,558.0207,29.9187,36.4883
2025-02-11 12:52:14,558.1675,29.9187,36.4471
2025-02-11 12:53:14,555.9962,29.9321,36.3098
2025-02-11 12:54:14,551.5278,29.9454,36.2
2025-02-11 12:55:14,542.1986,29.9454,35.9222
2025-02-11 12:56:14,536.7722,29.9454,36.1603
2025-02-11 12:57:14,536.1658,29.9588,36.1328
2025-02-11 12:58:14,540.4995,29.9748,36.1633
2025-02-11 12:59:14,544.0569,29.9882,36.2045
2025-02-11 13:00:14,545.2333,29.9588,36.0641
2025-02-11 13:01:14,540.5701,29.9748,36.0809
2025-02-11 13:02:14,537.3472,29.9748,35.817
2025-02-11 13:03:14,529.4404,29.9748,35.7742
2025-02-11 13:04:14,523.7975,29.9882,35.7895
2025-02-11 13:05:14,524.6529,30.0149,35.8337
2025-02-11 13:06:14,521.3891,30.0309,35.8765
2025-02-11 13:07:14,523.6,30.0309,35.9039
2025-02-11 13:08:14,526.2189,30.0736,35.9497
2025-02-11 13:09:14,527.2107,30.0736,35.9772
2025-02-11 13:10:14,528.5281,30.0736,35.7697
2025-02-11 13:11:14,521.6671,30.087,35.8292
2025-02-11 13:12:14,524.9607,30.1003,35.939
2025-02-11 13:13:14,527.1566,30.1137,35.8429
2025-02-11 13:14:14,536.3595,30.1137,36.0504
2025-02-11 13:15:14,541.6663,30.1003,35.939
2025-02-11 13:16:14,542.6848,30.1137,35.9268
2025-02-11 13:17:14,543.0988,30.1297,35.9161
2025-02-11 13:18:14,545.0507,30.1137,35.9268
2025-02-11 13:19:14,547.7162,30.1137,36.0367
2025-02-11 13:20:14,550.3301,30.1297,36.0123
2025-02-11 13:21:14,547.3248,30.1431,36.0138
2025-02-11 13:22:14,546.4853,30.1297,36.0535
2025-02-11 13:23:14,546.91,30.1297,36.0367
2025-02-11 13:24:14,544.5695,30.1297,36.0535
2025-02-11 13:25:14,541.533,30.1431,35.9985
2025-02-11 13:26:15,538.9011,30.1564,35.9436
2025-02-11 13:27:15,538.7812,30.1698,35.9726
2025-02-11 13:28:15,536.8415,30.1564,35.8475
2025-02-11 13:29:15,536.6452,30.1858,35.8765
2025-02-11 13:30:15,535.822,30.1991,35.936
2025-02-11 13:31:15,539.2633,30.2258,35.939
2025-02-11 13:32:15,542.0661,30.2258,35.9634
2025-02-11 13:33:15,544.0803,30.2419,35.9802
2025-02-11 13:34:15,548.4346,30.2125,35.9772
2025-02-11 13:35:15,551.9424,30.2419,35.8978
2025-02-11 13:36:15,552.011,30.2258,35.9116
2025-02-11 13:37:15,547.8452,30.2419,35.8429
2025-02-11 13:38:15,545.6163,30.2125,35.6735
2025-02-11 13:39:15,544.2809,30.2258,35.6598
2025-02-11 13:40:15,541.1664,30.2258,35.5637
2025-02-11 13:41:15,536.6943,30.2686,35.817
2025-02-11 13:42:15,541.2396,30.2846,35.6247
2025-02-11 13:43:15,535.7604,30.2979,35.7101
2025-02-11 13:44:15,529.2484,30.3113,35.6415
2025-02-11 13:45:15,524.654,30.3407,35.6155
2025-02-11 13:46:15,525.1294,30.3407,35.7422
2025-02-11 13:47:15,527.1326,30.3246,35.6293
2025-02-11 13:48:15,530.1659,30.354,35.6323
2025-02-11 13:49:15,530.4111,30.3246,35.6827
2025-02-11 13:50:15,529.7198,30.3407,35.6461
2025-02-11 13:51:15,526.5792,30.354,35.4919
2025-02-11 13:52:15,521.4528,30.354,35.5194
2025-02-11 13:53:15,519.5756,30.354,35.5331
2025-02-11 13:54:15,522.0809,30.4261,35.6247
2025-02-11 13:55:15,526.8998,30.4101,35.6369
2025-02-11 13:56:15,531.4611,30.4261,35.6522
2025-02-11 13:57:15,532.5039,30.3967,35.6369
2025-02-11 13:58:15,529.1584,30.4101,35.5682
2025-02-11 13:59:15,527.5117,30.4101,35.5545
2025-02-11 14:00:15,525.9602,30.4421,35.556
2025-02-11 14:01:15,527.4375,30.4261,35.556
2025-02-11 14:02:15,527.4521,30.4555,35.5148
